Customer_ID,Name,Age,Gender,Account_Type,Account_Balance,Loan_Amount,Loan_Status,Credit_Score,Monthly_Income,Employment_Status,Transaction_Count,Phone,City,Late_Payments
1,Aditya Desai,56,M,FD,50819.7358,0,Pending,746.3547515,39442.54268,Self-Employed,166,5763597096,Pune,6
2,Ravi Nair,69,male,current,66589.47858,200000,Pending,671.9192498,42011.77,Self-Employed,71,3101714012,Nagpur,0
3,Sakshi Sharma,46,Female,Current,28527.41988,0,Approved,698.0946057,33794.29135,salaried,297,497504669,Mumbai,3
4,Neha Nair,32,Male,Savings,57285.46812,0,Approved,752.6578601,34311.31156,salaried,8,5421995397,Nagpur,12
5,Amit Verma,,female,Current,33419.25083,50000,Rejected,572.1893825,39926.60102,Salaried,280,-5319324728,Pune,14
6,Chetan Patil,25,M,Loan,54034.0112,0,rejected,647.4922095,32227.16627,Unemployed,257,929337969,mumbai,0
7,Amit Sharma,78,M,Loan,67204.08484,100000,rejected,612.7981814,51718.1751,salaried,274,7170292372,Nagpur,5
8,Aditya Yadav,38,Male,current,7409.738518,300000,rejected,540.2498402,45072.18937,Salaried,237,9577258407,Thane,13
9,Neha Patil,56,male,savings,27710.48346,0,Rejected,674.2696984,45473.89221,salaried,19,9942059134,delhi,12
10,Sakshi Yadav,75,Male,savings,42620.4111,50000,rejected,825.8089586,23406.11932,Salaried,232,5710404158,Thane,3
11,Karan Joshi,,Female,current,56300.80978,300000,rejected,521.1945579,34047.33891,Salaried,220,1441322524,Thane,0
12,Neha Desai,40,Male,Loan,46672.33341,300000,Pending,647.7403572,31394.40862,Unemployed,16,,mumbai,8
13,Amit Sharma,28,M,Loan,49082.38436,50000,Approved,694.8380055,22932.78349,salaried,88,3828027311,Delhi,11
14,Aditya Sharma,28,Male,Loan,90859.69051,100000,Approved,658.6154741,39321.97021,Salaried,195,2292914612,delhi,3
15,Karan Nair,41,male,Current,25750.85442,0,Pending,642.0810363,28548.25091,Self-Employed,83,9491317821,Thane,11
16,Priya Desai,70,female,Loan,72709.70033,0,Pending,559.0548546,42864.84596,Self-Employed,86,-2542328630,Thane,5
17,Sakshi Nair,53,F,FD,43000.43746,0,Pending,666.295072,22157.70125,Self-Employed,153,4727826350,Delhi,12
18,Neha Rao,57,Male,Savings,60989.49585,0,Approved,597.0265216,55628.48735,Unemployed,227,5691392904,mumbai,6
19,Aditya Patil,41,male,Loan,92578.93111,0,rejected,,24244.0081,Salaried,263,8631711628,delhi,7
20,Amit Yadav,20,male,current,63773.56047,50000,Pending,733.6214554,,Unemployed,222,8557870463,Thane,11
21,Sneha Desai,39,female,Savings,57449.9142,0,Rejected,717.0870074,44502.31172,salaried,120,2743177115,Pune,12
22,Priya Verma,70,M,Current,81982.4467,0,Pending,653.6162684,28152.31484,salaried,172,3678440246,mumbai,10
23,Sneha Yadav,19,male,current,72495.97289,0,approved,666.0352282,45229.62372,Salaried,3,9889664805,delhi,8
24,Karan Desai,41,male,Savings,34012.11848,0,Pending,725.2022609,20249.79683,Self-Employed,127,3494414498,Thane,8
25,Ravi Patil,61,male,current,55890.49485,0,Approved,,52425.41239,Salaried,109,,Thane,7
26,Chetan Rao,,male,Current,15650.08532,0,Pending,713.2812288,35169.79118,Salaried,36,,Delhi,9
27,Sneha Joshi,55,Female,FD,39196.93223,50000,approved,,27843.0631,Salaried,70,7933093997,delhi,10
28,Ravi Sharma,19,Female,Current,56281.05935,100000,Rejected,741.8388617,31409.81873,Unemployed,288,2859244409,Pune,14
29,Sneha Joshi,77,M,Current,37957.89294,300000,rejected,672.4550008,44707.03123,salaried,30,7741320917,mumbai,11
30,Karan Patil,38,Male,current,55467.33492,0,Pending,663.5836361,27986.5365,Salaried,267,4983648746,Nagpur,11
31,Aditya Verma,50,male,savings,49732.30769,100000,approved,561.0957238,26007.70773,Salaried,10,4291942086,Mumbai,14
32,Sneha Nair,29,female,Loan,60728.33465,300000,approved,670.0869098,32341.56083,Salaried,31,8625192831,Pune,13
33,Chetan Nair,75,Male,Loan,41516.01956,300000,Rejected,591.7631558,20876.45465,Unemployed,56,2909608583,Nagpur,2
34,Chetan Yadav,39,female,FD,31197.02171,50000,Approved,605.3202091,,Unemployed,165,6599660520,Pune,11
35,Sneha Rao,78,Male,FD,79562.53652,300000,Pending,592.923706,28203.26491,Unemployed,187,-6807555594,delhi,1
36,Neha Sharma,61,M,Loan,40086.06515,300000,approved,575.3635548,44979.40143,Salaried,18,1749939161,Nagpur,4
37,Karan Rao,42,male,savings,63200.21186,0,Rejected,798.7339982,37513.641,Self-Employed,115,2752022401,delhi,0
38,Priya Nair,66,male,Loan,78704.94053,0,rejected,743.1937343,23185.59139,Self-Employed,183,-2166810071,Nagpur,2
39,Neha Nair,44,F,savings,,200000,approved,784.4257252,34928.54349,Self-Employed,269,5194368870,Pune,0
40,Sakshi Patil,76,female,FD,32873.86861,100000,Rejected,564.3973486,44408.03335,salaried,32,8623494132,Delhi,12
41,Sneha Patil,59,Male,Savings,46427.80051,0,Approved,654.9877625,32740.86398,Salaried,9,8940372690,Pune,2
42,Ravi Rao,45,Male,current,70350.81833,0,Approved,559.4544662,49317.35535,Self-Employed,79,-4468353884,delhi,12
43,Ravi Nair,77,Female,FD,54124.95091,0,approved,601.3013586,47258.18471,Self-Employed,191,7604148859,Pune,3
44,Chetan Yadav,33,F,FD,25897.16416,100000,approved,585.7311112,,Self-Employed,189,7566326432,Nagpur,6
45,Karan Verma,32,Female,Current,61932.87667,0,Pending,736.7708805,29484.11873,Salaried,67,4395512179,Mumbai,11
46,Sneha Desai,79,Female,Current,65390.62938,0,Rejected,622.2639225,22041.89063,Self-Employed,124,7990151370,Nagpur,14
47,Sneha Nair,79,Female,Current,42893.76228,200000,approved,724.7865534,27636.94874,Self-Employed,58,2093844723,Thane,11
48,Ravi Patil,64,female,current,62204.88751,0,Pending,692.2884623,37354.89129,Salaried,96,2229143072,Pune,4
49,Ravi Nair,79,female,Current,54900.37191,0,Pending,811.2547126,41549.44056,salaried,274,5396392107,mumbai,4
50,Sneha Rao,68,M,savings,46051.40923,0,approved,546.4389044,8941.143143,Unemployed,148,7696832729,Pune,12
51,Amit Sharma,61,M,Loan,24129.28513,0,Approved,738.1463268,34902.64158,Self-Employed,277,4583131185,Delhi,0
52,Neha Desai,72,Female,Savings,71559.0779,200000,Rejected,730.2508609,36897.0707,Unemployed,264,-4018787512,delhi,7
53,Chetan Rao,69,F,FD,65184.22,300000,Rejected,581.8634813,31669.46892,salaried,8,1279550208,mumbai,12
54,Amit Nair,74,Male,savings,,0,Approved,720.4993336,50495.28607,salaried,282,3224940213,Nagpur,3
55,Priya Yadav,20,female,Savings,80890.52007,0,approved,673.5301474,40061.36089,Self-Employed,272,8103944418,Delhi,9
56,Priya Desai,54,F,savings,68903.87454,200000,Rejected,634.0766618,50722.3029,Salaried,7,6102716118,Pune,4
57,Amit Yadav,68,male,savings,63731.32012,300000,approved,592.3245159,32408.47376,salaried,207,-2171062695,Nagpur,1
58,Priya Rao,24,female,FD,5735.453039,0,approved,599.6623384,46249.72991,Unemployed,124,-541291205,Nagpur,14
59,Amit Yadav,38,female,Loan,73937.89904,50000,Pending,793.4868467,54620.79673,Unemployed,122,9780077705,Thane,11
60,Aditya Patil,26,M,Current,51661.61029,0,Approved,650.0477973,50740.32139,Unemployed,32,3241303720,Thane,12
61,Priya Verma,56,Male,current,56249.83361,300000,approved,,21894.30088,Unemployed,0,5706431024,Mumbai,0
62,Priya Nair,35,Male,Loan,56386.66379,100000,rejected,594.6370433,31955.88707,salaried,203,720411669,Thane,8
63,Amit Yadav,21,male,current,65476.65487,200000,Approved,595.4102938,30858.02353,Self-Employed,5,1951881698,delhi,14
64,Amit Desai,42,male,FD,72443.50058,0,Rejected,725.7389366,40871.05442,Self-Employed,296,7805031746,mumbai,1
65,Priya Verma,77,female,FD,62684.82286,0,Pending,555.5296652,43236.24266,Unemployed,4,-605883612,Nagpur,5
66,Chetan Nair,31,Female,FD,59505.71179,200000,Rejected,620.9350362,24933.28791,Self-Employed,79,2171378130,Thane,0
67,Sakshi Desai,67,M,Savings,54630.25479,0,Rejected,652.3819188,35814.06217,Unemployed,273,6404475693,Mumbai,0
68,Ravi Yadav,75,M,current,-17032.21034,300000,Approved,657.7960821,10760.87201,Unemployed,176,-4170110888,Pune,8
